Date,Share Code,High,Low,Previous,Open,Close,Total Shares Traded,Last
1/3/2017,CAL,0.76,0.76,0.75,0.75,0.76,10500,0.76
1/4/2017,CAL,0.78,0.76,0.76,0.76,0.78,17300,0.78
1/5/2017,CAL,0.78,0.76,0.78,0.78,0.78,4500,0.78
1/6/2017,CAL,0.78,0.76,0.78,0.78,0.77,133700,0.76
1/9/2017,CAL,0.78,0.76,0.77,0.77,0.76,16200,0.76
1/10/2017,CAL,0.78,0.76,0.76,0.76,0.76,15900,0.76
1/11/2017,CAL,0.78,0.76,0.76,0.76,0.76,3000,0.76
1/12/2017,CAL,0.78,0.76,0.76,0.76,0.76,13500,0.76
1/13/2017,CAL,0.78,0.76,0.76,0.76,0.76,500,0.76
1/16/2017,CAL,0.78,0.75,0.76,0.76,0.75,35500,0.76
1/17/2017,CAL,0.78,0.75,0.75,0.75,0.76,19400,0.76
1/18/2017,CAL,0.78,0.75,0.76,0.76,0.76,24200,0.76
1/19/2017,CAL,0.78,0.75,0.76,0.76,0.76,1800,0.76
1/20/2017,CAL,0.78,0.75,0.76,0.76,0.76,14600,0.76
1/23/2017,CAL,0.78,0.75,0.76,0.76,0.76,40000,0.76
1/24/2017,CAL,0.78,0.75,0.76,0.76,0.76,23200,0.76
1/25/2017,CAL,0.78,0.75,0.76,0.76,0.76,18900,0.76
1/26/2017,CAL,0.78,0.75,0.76,0.76,0.76,111200,0.76
1/27/2017,CAL,0.78,0.75,0.76,0.76,0.76,56700,0.76
1/30/2017,CAL,0.78,0.75,0.76,0.76,0.76,9200,0.76
1/31/2017,CAL,0.78,0.75,0.76,0.76,0.76,800,0.76
2/1/2017,CAL,0.78,0.75,0.76,0.76,0.76,2200,0.76
2/2/2017,CAL,0.78,0.75,0.76,0.76,0.76,59100,0.76
2/3/2017,CAL,0.78,0.75,0.76,0.76,0.76,53900,0.76
2/6/2017,CAL,0.78,0.75,0.76,0.76,0.76,600,0.76
2/7/2017,CAL,0.78,0.65,0.76,0.76,0.65,4026400,0.7
2/8/2017,CAL,0.78,0.65,0.65,0.65,0.75,1100,0.75
2/9/2017,CAL,0.78,0.65,0.75,0.75,0.75,151837392,0.75
2/10/2017,CAL,0.78,0.65,0.75,0.75,0.75,67100,0.75
2/13/2017,CAL,0.78,0.65,0.75,0.75,0.75,600,0.75
2/14/2017,CAL,0.78,0.65,0.75,0.75,0.75,17600,0.75
2/15/2017,CAL,0.78,0.65,0.75,0.75,0.75,44000,0.75
2/16/2017,CAL,0.78,0.65,0.75,0.75,0.75,20000,0.75
2/17/2017,CAL,0.78,0.65,0.75,0.75,0.75,2600,0.75
2/20/2017,CAL,0.78,0.65,0.75,0.75,0.75,0,0.75
2/21/2017,CAL,0.78,0.65,0.75,0.75,0.75,1000,0.75
2/22/2017,CAL,0.78,0.65,0.75,0.75,0.75,26400,0.75
2/23/2017,CAL,0.78,0.65,0.75,0.75,0.75,56000,0.75
2/24/2017,CAL,0.78,0.65,0.75,0.75,0.75,2100,0.74
2/27/2017,CAL,0.78,0.65,0.75,0.75,0.75,57000,0.74
2/28/2017,CAL,0.78,0.65,0.75,0.75,0.75,3900,0.74
3/1/2017,CAL,0.78,0.65,0.75,0.75,0.75,7400,0.74
3/2/2017,CAL,0.78,0.65,0.75,0.75,0.75,6000,0.74
3/3/2017,CAL,0.78,0.65,0.75,0.75,0.75,600,0.74
3/7/2017,CAL,0.78,0.65,0.75,0.75,0.75,600,0.74
3/8/2017,CAL,0.78,0.65,0.75,0.75,0.75,13100,0.74
3/9/2017,CAL,0.78,0.65,0.75,0.75,0.77,300,0.77
3/10/2017,CAL,0.78,0.65,0.77,0.77,0.77,5300,0.77
3/13/2017,CAL,0.78,0.65,0.77,0.77,0.75,1079900,0.75
3/14/2017,CAL,0.78,0.65,0.75,0.75,0.75,0,0.75
3/15/2017,CAL,0.78,0.65,0.75,0.75,0.74,19300,0.74
3/16/2017,CAL,0.78,0.65,0.74,0.74,0.74,30400,0.74
