"Date","Share Code","Year High (GHS)","Year Low (GHS)","Previous Closing Price VWAP (GHS)","Opening Price (GHS)","Closing Price VWAP (GHS)","Total Shares Traded","Last Transaction Price (GHS)"
"2017-01-03","FML","11.20","11.20","11.14","11.14","11.20","203500","11.20"
"2017-01-04","FML","11.20","11.20","11.20","11.20","11.20","300","11.20"
"2017-01-05","FML","11.20","11.20","11.20","11.20","11.20","0","11.20"
"2017-01-06","FML","11.20","11.20","11.20","11.20","11.20","590000","11.20"
"2017-01-09","FML","11.20","11.20","11.20","11.20","11.20","11400","11.20"
"2017-01-10","FML","11.20","11.20","11.20","11.20","11.20","600","11.20"
"2017-01-11","FML","11.20","11.20","11.20","11.20","11.20","200","11.20"
"2017-01-12","FML","11.20","11.20","11.20","11.20","11.20","0","11.20"
"2017-01-13","FML","11.20","11.20","11.20","11.20","11.20","0","11.20"
"2017-01-16","FML","11.20","11.20","11.20","11.20","11.20","2100","11.20"
"2017-01-17","FML","11.20","11.20","11.20","11.20","11.20","1000","11.20"
"2017-01-18","FML","11.20","11.20","11.20","11.20","11.20","1500","11.20"
"2017-01-19","FML","11.20","11.20","11.20","11.20","11.20","150000","11.20"
"2017-01-20","FML","11.20","11.20","11.20","11.20","11.20","300","11.20"
"2017-01-23","FML","11.20","11.20","11.20","11.20","11.20","100","11.20"
"2017-01-24","FML","11.20","11.20","11.20","11.20","11.20","0","11.20"
"2017-01-25","FML","11.20","11.20","11.20","11.20","11.20","800","11.20"
"2017-01-26","FML","11.20","11.20","11.20","11.20","11.20","2500","11.20"
"2017-01-27","FML","11.20","11.20","11.20","11.20","11.20","1300","11.20"
"2017-01-30","FML","11.20","11.20","11.20","11.20","11.20","1300","11.20"
"2017-01-31","FML","11.20","11.20","11.20","11.20","11.20","500","11.20"
"2017-02-01","FML","11.20","11.20","11.20","11.20","11.20","2000","11.20"
"2017-02-02","FML","11.20","11.20","11.20","11.20","11.20","200","11.20"
"2017-02-03","FML","11.20","11.20","11.20","11.20","11.20","800","11.20"
