"Date","Share Code","Year High (GHS)","Year Low (GHS)","Previous Closing Price VWAP (GHS)","Opening Price (GHS)","Closing Price VWAP (GHS)","Total Shares Traded","Last Transaction Price (GHS)"
"2018-09-05","MTNGH","0.75","0.75","0.75","0.75","0.75","5007600","0.75"
"2018-09-06","MTNGH","0.75","0.75","0.75","0.75","0.75","0","0.75"
"2018-09-07","MTNGH","0.75","0.75","0.75","0.75","0.75","0","0.75"
"2018-09-10","MTNGH","0.75","0.75","0.75","0.75","0.75","720000","0.75"
"2018-09-11","MTNGH","0.76","0.75","0.75","0.75","0.76","565900","0.77"
"2018-09-12","MTNGH","0.76","0.75","0.76","0.76","0.76","3000","0.77"
"2018-09-13","MTNGH","0.77","0.75","0.76","0.76","0.77","156800","0.77"
"2018-09-14","MTNGH","0.78","0.75","0.77","0.77","0.78","266000","0.78"
"2018-09-17","MTNGH","0.80","0.75","0.78","0.78","0.80","1311900","0.80"
"2018-09-18","MTNGH","0.80","0.75","0.80","0.80","0.80","861900","0.80"
"2018-09-19","MTNGH","0.80","0.75","0.80","0.82","0.80","154400","0.84"
"2018-09-20","MTNGH","0.80","0.75","0.80","0.80","0.80","0","0.84"
"2018-09-24","MTNGH","0.80","0.75","0.80","0.80","0.80","65000","0.84"
"2018-09-25","MTNGH","0.84","0.75","0.80","0.80","0.84","1600","0.84"
"2018-09-26","MTNGH","0.85","0.75","0.84","0.84","0.85","5500","0.85"
"2018-09-27","MTNGH","0.85","0.75","0.85","0.85","0.85","0","0.85"
"2018-09-28","MTNGH","0.88","0.75","0.85","0.85","0.88","4600","0.88"
"2018-10-01","MTNGH","0.88","0.75","0.88","0.88","0.91","204200","0.93"
"2018-10-02","MTNGH","0.92","0.75","0.91","0.91","0.92","115900","0.92"
"2018-10-03","MTNGH","0.92","0.75","0.92","0.92","0.90","1643300","0.90"
"2018-10-04","MTNGH","0.92","0.75","0.90","0.90","0.90","1137000","0.90"
"2018-10-05","MTNGH","0.93","0.75","0.90","0.90","0.93","2000","0.92"
"2018-10-08","MTNGH","0.93","0.75","0.93","0.93","0.93","5600","0.92"
"2018-10-09","MTNGH","0.93","0.75","0.93","0.93","0.93","210600","0.92"
"2018-10-10","MTNGH","0.93","0.75","0.93","0.93","0.92","5200","0.92"
"2018-10-11","MTNGH","0.93","0.75","0.92","0.92","0.93","17000","0.90"
"2018-10-12","MTNGH","0.93","0.75","0.93","0.93","0.91","2100","0.92"
"2018-10-15","MTNGH","0.93","0.75","0.91","0.91","0.90","6900","0.90"
"2018-10-16","MTNGH","0.93","0.75","0.90","0.90","0.89","274900","0.90"
"2018-10-17","MTNGH","0.93","0.75","0.89","0.89","0.90","35200","0.90"
"2018-10-18","MTNGH","0.93","0.75","0.90","0.90","0.90","66300","0.89"
"2018-10-19","MTNGH","0.93","0.75","0.90","0.90","0.90","500","0.89"
"2018-10-22","MTNGH","0.93","0.75","0.90","0.90","0.90","7000","0.90"
"2018-10-23","MTNGH","0.93","0.75","0.90","0.90","0.90","57000","0.90"
"2018-10-24","MTNGH","0.93","0.75","0.90","0.90","0.90","5600","0.90"
"2018-10-24","MTNGH","0.93","0.75","0.90","0.90","0.91","5800","0.91"
"2018-10-26","MTNGH","0.93","0.75","0.91","0.91","0.91","1100","0.91"
"2018-10-29","MTNGH","0.93","0.75","0.91","0.91","0.91","0","0.91"
"2018-10-30","MTNGH","0.93","0.75","0.91","0.91","0.90","43800","0.90"
"2018-10-31","MTNGH","0.93","0.75","0.90","0.90","0.90","5700","0.90"
"2018-11-01","MTNGH","0.93","0.75","0.90","0.90","0.90","46300","0.89"
"2018-11-02","MTNGH","0.93","0.75","0.90","0.90","0.90","2100","0.89"
"2018-11-05","MTNGH","0.93","0.75","0.90","0.90","0.90","1800","0.89"
"2018-11-06","MTNGH","0.93","0.75","0.90","0.90","0.88","1198800","0.88"
"2018-11-07","MTNGH","0.93","0.75","0.88","0.88","0.88","11800","0.87"
"2018-11-08","MTNGH","0.93","0.75","0.88","0.88","0.88","1022300","0.87"
"2018-11-09","MTNGH","0.93","0.75","0.88","0.88","0.88","1400","0.88"
"2018-11-12","MTNGH","0.93","0.75","0.88","0.88","0.85","51700","0.85"
"2018-11-13","MTNGH","0.93","0.75","0.85","0.85","0.87","3700","0.85"
"2018-11-14","MTNGH","0.93","0.75","0.87","0.87","0.88","1900","0.88"
"2018-11-15","MTNGH","0.93","0.75","0.88","0.88","0.88","4400","0.88"
"2018-11-16","MTNGH","0.93","0.75","0.88","0.88","0.84","130800","0.87"
"2018-11-19","MTNGH","0.93","0.75","0.84","0.84","0.86","57,200","0.84"
"2018-11-20","MTNGH","0.93","0.75","0.86","0.86","0.82","3,000","0.82"
"2018-11-21","MTNGH","0.93","0.75","0.82","0.82","0.82","0","0.82"
"2018-11-22","MTNGH","0.93","0.75","0.82","0.82","0.8","2,140,600","0.8"
"2018-11-23","MTNGH","0.93","0.75","0.8","0.8","0.8","2,600","0.8"
"2018-11-26","MTNGH","0.93","0.75","0.8","0.8","0.82","2,400","0.82"
"2018-11-27","MTNGH","0.93","0.75","0.82","0.82","0.82","4,200","0.82"
"2018-11-28","MTNGH","0.93","0.75","0.82","0.82","0.81","3,400","0.81"
"2018-11-29","MTNGH","0.93","0.75","0.81","0.81","0.8","84,200","0.8"
"2018-11-30","MTNGH","0.93","0.75","0.8","0.8","0.8","1,300","0.8"
"2018-12-03","MTNGH","0.93","0.75","0.8","0.8","0.81","36,900","0.8"
"2018-12-04","MTNGH","0.93","0.75","0.81","0.81","0.78","55,000","0.78"
"2018-12-05","MTNGH","0.93","0.75","0.78","0.78","0.8","200","0.8"
"2018-12-06","MTNGH","0.93","0.75","0.8","0.8","0.78","2,000","0.78"
"2018-12-10","MTNGH","0.93","0.75","0.78","0.78","0.79","1,800","0.79"
"2018-12-11","MTNGH","0.93","0.75","0.79","0.79","0.79","1,900","0.79"
"2018-12-12","MTNGH","0.93","0.75","0.79","0.79","0.79","173,300","0.79"
"2018-12-13","MTNGH","0.93","0.75","0.79","0.79","0.78","17,400","0.78"
"2018-12-14","MTNGH","0.93","0.75","0.78","0.78","0.78","21,500","0.78"
"2018-12-17","MTNGH","0.93","0.75","0.78","0.78","0.78","1,685,400","0.78"
"2018-12-18","MTNGH","0.93","0.75","0.78","0.78","0.78","4,700","0.78"
"2018-12-19","MTNGH","0.93","0.75","0.78","0.78","0.77","350,800","0.77"
"2018-12-20","MTNGH","0.93","0.75","0.77","0.77","0.77","3,500","0.77"
"2018-12-21","MTNGH","0.93","0.75","0.77","0.77","0.77","70,400","0.77"
"2018-12-24","MTNGH","0.93","0.75","0.77","0.77","0.78","24,600","0.79"
"2018-12-27","MTNGH","0.93","0.75","0.78","0.78","0.8","10,000","0.8"
"2018-12-28","MTNGH","0.93","0.75","0.8","0.8","0.8","23,300","0.8"
"2018-12-31","MTNGH","0.93","0.75","0.8","0.8","0.79","99,900","0.8"
"2019-01-02","MTNGH","0.8","0.79","0.79","0.79","0.8","34,800","0.8"
"2019-01-03","MTNGH","0.8","0.79","0.8","0.8","0.79","128,300","0.79"
"2019-01-04","MTNGH","0.8","0.79","0.79","0.79","0.79","15,400","0.79"
"2019-01-08","MTNGH","0.8","0.79","0.79","0.79","0.79","200","0.79"
"2019-01-09","MTNGH","0.8","0.79","0.79","0.79","0.79","200","0.79"
"2019-01-10","MTNGH","0.8","0.79","0.79","0.79","0.79","5,400","0.79"
"2019-01-11","MTNGH","0.8","0.79","0.79","0.79","0.79","1,200","0.79"
"2019-01-14","MTNGH","0.8","0.79","0.79","0.79","0.79","10,700","0.79"
"2019-01-15","MTNGH","0.8","0.79","0.79","0.79","0.79","1,600","0.79"
"2019-01-16","MTNGH","0.8","0.79","0.79","0.79","0.79","9,900","0.79"
"2019-01-17","MTNGH","0.8","0.78","0.79","0.79","0.78","25,000","0.79"
"2019-01-18","MTNGH","0.8","0.78","0.78","0.78","0.78","20,700","0.79"
"2019-01-21","MTNGH","0.8","0.78","0.78","0.78","0.78","0","0.79"
"2019-01-22","MTNGH","0.8","0.77","0.78","0.78","0.77","21,300","0.77"
"2019-01-23","MTNGH","0.8","0.76","0.77","0.77","0.76","53,500","0.76"
"2019-01-24","MTNGH","0.8","0.76","0.76","0.76","0.76","75,500","0.75"
"2019-01-25","MTNGH","0.8","0.76","0.76","0.76","0.76","17,000","0.75"
"2019-01-28","MTNGH","0.8","0.75","0.76","0.76","0.75","15,400","0.75"
"2019-01-29","MTNGH","0.8","0.75","0.75","0.75","0.75","32,300","0.75"
"2019-01-30","MTNGH","0.8","0.75","0.75","0.75","0.75","25,200","0.75"
"2019-01-31","MTNGH","0.8","0.75","0.75","0.75","0.75","15,000","0.75"
"2019-02-01","MTNGH","0.8","0.75","0.75","0.75","0.75","75,100","0.75"
"2019-02-04","MTNGH","0.8","0.75","0.75","0.75","0.75","21,400","0.75"
"2019-02-05","MTNGH","0.8","0.74","0.75","0.75","0.74","87,700","0.74"
"2019-02-06","MTNGH","0.8","0.74","0.74","0.74","0.74","12,800","0.74"
"2019-02-07","MTNGH","0.8","0.74","0.74","0.74","0.75","3,200","0.74"
"2019-02-08","MTNGH","0.8","0.74","0.75","0.75","0.74","5,600","0.74"
"2019-02-11","MTNGH","0.8","0.74","0.74","0.74","0.74","17,800","0.74"
"2019-02-12","MTNGH","0.8","0.74","0.74","0.74","0.74","0","0.74"
"2019-02-13","MTNGH","0.8","0.74","0.74","0.74","0.74","57,000","0.74"
"2019-02-14","MTNGH","0.8","0.74","0.74","0.74","0.74","11,200","0.74"
"2019-02-15","MTNGH","0.8","0.74","0.74","0.74","0.74","10,000","0.74"
"2019-02-18","MTNGH","0.8","0.74","0.74","0.74","0.74","700","0.74"
"2019-02-19","MTNGH","0.8","0.73","0.74","0.74","0.73","42,900","0.73"
"2019-02-20","MTNGH","0.8","0.73","0.73","0.73","0.74","114,700","0.74"
"2019-02-21","MTNGH","0.8","0.73","0.74","0.74","0.74","100","0.74"
"2019-02-22","MTNGH","0.8","0.73","0.74","0.74","0.73","295,500","0.73"
"2019-02-25","MTNGH","0.8","0.73","0.73","0.73","0.73","52,200","0.73"
"2019-02-26","MTNGH","0.8","0.73","0.73","0.73","0.73","24,100","0.74"
"2019-02-27","MTNGH","0.8","0.73","0.73","0.73","0.73","23,800","0.73"
"2019-02-28","MTNGH","0.8","0.73","0.73","0.73","0.73","2,100","0.73"
"2019-03-01","MTNGH","0.8","0.73","0.73","0.73","0.74","1,600","0.74"
"2019-03-04","MTNGH","0.8","0.73","0.74","0.74","0.73","11,200","0.73"
"2019-03-05","MTNGH","0.8","0.72","0.73","0.73","0.72","4,527,000","0.72"
"2019-03-07","MTNGH","0.8","0.72","0.72","0.72","0.72","500","0.72"
"2019-03-08","MTNGH","0.8","0.72","0.72","0.72","0.72","120,600","0.72"
"2019-03-11","MTNGH","0.8","0.72","0.72","0.72","0.72","1,100","0.72"
"2019-03-12","MTNGH","0.8","0.71","0.72","0.72","0.71","23,000","0.71"
"2019-03-13","MTNGH","0.8","0.71","0.71","0.71","0.71","22,500","0.71"
"2019-03-14","MTNGH","0.8","0.71","0.71","0.71","0.71","2,000","0.71"
"2019-03-15","MTNGH","0.8","0.7","0.71","0.71","0.7","13,000","0.7"
"2019-03-18","MTNGH","0.8","0.7","0.7","0.7","0.7","23,800","0.7"
"2019-03-19","MTNGH","0.8","0.7","0.7","0.7","0.71","9,700","0.71"
"2019-03-20","MTNGH","0.8","0.7","0.71","0.71","0.7","278,600","0.7"
"2019-03-21","MTNGH","0.8","0.7","0.7","0.7","0.7","16,200","0.72"
"2019-03-22","MTNGH","0.8","0.7","0.7","0.7","0.7","2,800","0.72"
"2019-03-25","MTNGH","0.8","0.7","0.7","0.7","0.7","66,600","0.72"
"2019-03-26","MTNGH","0.8","0.7","0.7","0.7","0.7","75,700","0.72"
"2019-03-27","MTNGH","0.8","0.7","0.7","0.7","0.7","59,700","0.72"
"2019-03-28","MTNGH","0.8","0.68","0.7","0.7","0.68","19,000","0.68"
"2019-03-29","MTNGH","0.8","0.68","0.68","0.68","0.7","31,400","0.7"
"2019-04-01","MTNGH","0.8","0.68","0.7","0.7","0.7","3,100","0.7"
"2019-04-02","MTNGH","0.8","0.68","0.7","0.7","0.7","8,400","0.7"
"2019-04-03","MTNGH","0.8","0.68","0.7","0.7","0.7","47,700","0.7"
"2019-04-04","MTNGH","0.8","0.68","0.7","0.7","0.7","501,100","0.7"
"2019-04-05","MTNGH","0.8","0.68","0.7","0.7","0.7","25,900","0.7"
"2019-04-08","MTNGH","0.8","0.68","0.7","0.7","0.7","7,000","0.7"
"2019-04-09","MTNGH","0.8","0.68","0.7","0.7","0.7","14,035,100","0.7"
"2019-04-10","MTNGH","0.8","0.68","0.7","0.7","0.7","566,000","0.69"
"2019-04-11","MTNGH","0.8","0.68","0.7","0.7","0.7","18,200","0.7"
"2019-04-12","MTNGH","0.8","0.68","0.7","0.7","0.7","4,400","0.7"
"2019-04-15","MTNGH","0.8","0.68","0.7","0.7","0.69","23,800","0.7"
"2019-04-16","MTNGH","0.8","0.68","0.69","0.69","0.69","212,000","0.68"
"2019-04-17","MTNGH","0.8","0.68","0.69","0.69","0.7","726,700","0.7"
"2019-04-18","MTNGH","0.8","0.68","0.7","0.7","0.7","700","0.7"
"2019-04-23","MTNGH","0.8","0.68","0.7","0.7","0.7","150,000","0.7"
"2019-04-24","MTNGH","0.8","0.68","0.7","0.7","0.7","1,000","0.7"
"2019-04-25","MTNGH","0.8","0.68","0.7","0.7","0.7","9,013,000","0.7"
"2019-04-26","MTNGH","0.8","0.68","0.7","0.7","0.7","0","0.7"
"2019-04-29","MTNGH","0.8","0.68","0.7","0.7","0.7","2,700","0.7"
"2019-04-30","MTNGH","0.8","0.67","0.7","0.7","0.67","20,200","0.67"
"2019-05-02","MTNGH","0.8","0.67","0.67","0.67","0.67","2,000","0.67"
"2019-05-03","MTNGH","0.8","0.67","0.67","0.67","0.68","23,900","0.69"
"2019-05-06","MTNGH","0.8","0.67","0.68","0.68","0.7","1,500","0.7"
"2019-05-07","MTNGH","0.8","0.67","0.7","0.7","0.7","500","0.7"
"2019-05-08","MTNGH","0.8","0.67","0.7","0.7","0.67","475,200","0.68"
"2019-05-09","MTNGH","0.8","0.67","0.67","0.67","0.7","4,293,900","0.7"
"2019-05-10","MTNGH","0.8","0.67","0.7","0.7","0.7","900","0.7"
"2019-05-13","MTNGH","0.8","0.67","0.7","0.7","0.69","1,359,600","0.7"
"2019-05-14","MTNGH","0.8","0.67","0.69","0.69","0.75","100","0.75"
"2019-05-15","MTNGH","0.8","0.67","0.75","0.75","0.7","88,500","0.7"
"2019-05-16","MTNGH","0.8","0.67","0.7","0.7","0.72","61,400","0.72"
"2019-05-17","MTNGH","0.8","0.67","0.72","0.72","0.72","75,800","0.72"
"2019-05-20","MTNGH","0.8","0.67","0.72","0.72","0.73","23,400","0.73"
"2019-05-21","MTNGH","0.8","0.67","0.73","0.73","0.72","89,900","0.72"
"2019-05-22","MTNGH","0.8","0.67","0.72","0.72","0.73","98,900","0.72"
"2019-05-23","MTNGH","0.8","0.67","0.73","0.73","0.74","1,500","0.73"
