"Date","Share Code","Year High (GHS)","Year Low (GHS)","Previous Closing Price VWAP (GHS)","Opening Price (GHS)","Closing Price VWAP (GHS)","Total Shares Traded","Last Transaction Price (GHS)"
"2017-01-03","SCB","12.21","12.21","12.18","12.18","12.21","210","12.21"
"2017-01-04","SCB","12.21","12.21","12.21","12.21","12.21","0","12.21"
"2017-01-05","SCB","12.26","12.21","12.21","12.21","12.26","700","12.26"
"2017-01-06","SCB","12.30","12.21","12.26","12.26","12.30","160","12.30"
"2017-01-09","SCB","12.30","12.21","12.30","12.30","12.30","0","12.30"
"2017-01-10","SCB","12.34","12.21","12.30","12.30","12.34","8490","12.34"
"2017-01-11","SCB","12.34","12.21","12.34","12.34","12.30","43320","12.31"
"2017-01-12","SCB","12.34","12.21","12.30","12.30","12.30","0","12.31"
"2017-01-13","SCB","12.34","12.21","12.30","12.30","12.30","0","12.31"
"2017-01-16","SCB","12.34","12.21","12.30","12.30","12.31","100","12.31"
"2017-01-17","SCB","12.34","12.21","12.31","12.31","12.31","0","12.31"
"2017-01-18","SCB","12.34","12.21","12.31","12.31","12.34","4100","12.34"
"2017-01-19","SCB","12.69","12.21","12.34","12.31","12.69","250","12.36"
"2017-01-20","SCB","12.90","12.21","12.69","12.69","12.90","50","12.90"
"2017-01-23","SCB","13.01","12.21","12.90","12.90","12.94","500","13.01"
"2017-01-24","SCB","13.01","12.21","12.94","12.94","13.01","1140","13.01"
"2017-01-25","SCB","13.02","12.21","13.01","13.01","13.02","1700","13.02"
"2017-01-26","SCB","13.02","12.21","13.02","13.02","13.02","0","13.02"
"2017-01-27","SCB","13.02","12.21","13.02","13.02","13.02","0","13.02"
"2017-01-30","SCB","13.02","12.21","13.02","13.02","13.02","0","13.02"
"2017-01-31","SCB","13.11","12.21","13.02","13.02","13.11","10","13.11"
"2017-02-01","SCB","13.18","12.21","13.11","13.11","13.17","1770","13.18"
"2017-02-02","SCB","13.19","12.21","13.17","13.17","13.19","4000","13.19"
"2017-02-03","SCB","15.00","12.21","13.19","13.19","15.00","1850","15.00"
"2017-02-06","SCB","15.00","12.21","15.00","15.00","13.27","270","13.28"
"2017-02-07","SCB","15.00","12.21","13.27","13.27","13.28","2400","13.28"
"2017-02-08","SCB","15.00","12.21","13.28","13.28","13.28","0","13.28"
"2017-02-09","SCB","15.00","12.21","13.28","13.28","13.30","360","13.30"
"2017-02-10","SCB","15.00","12.21","13.30","13.30","13.32","10","13.32"
"2017-02-13","SCB","15.00","12.21","13.32","13.30","13.32","0","13.32"
"2017-02-14","SCB","15.00","12.21","13.32","13.30","13.33","1000","13.32"
"2017-02-15","SCB","15.00","12.21","13.33","13.33","13.35","200000","13.35"
"2017-02-16","SCB","15.00","12.21","13.35","13.35","13.36","40","13.36"
"2017-02-17","SCB","15.00","12.21","13.36","13.36","13.39","680","13.39"
"2017-02-20","SCB","15.00","12.21","13.39","13.39","13.39","0","13.39"
"2017-02-21","SCB","15.00","12.21","13.39","13.39","13.39","0","13.39"
"2017-02-22","SCB","15.00","12.21","13.39","13.39","13.40","370","13.42"
"2017-02-23","SCB","15.00","12.21","13.40","13.39","13.40","0","13.42"
"2017-02-24","SCB","15.00","12.21","13.40","13.39","14.46","1000","14.46"
"2017-02-27","SCB","15.00","12.21","14.46","14.46","14.46","0","14.46"
"2017-02-28","SCB","15.00","12.21","14.46","14.46","14.46","50","14.46"
"2017-03-01","SCB","15.00","12.21","14.46","14.46","15.00","170","14.46"
"2017-03-02","SCB","15.00","12.21","15.00","14.46","15.00","0","14.46"
"2017-03-03","SCB","15.00","12.21","15.00","15.00","15.00","0","14.46"
"2017-03-07","SCB","15.00","12.21","15.00","15.00","15.00","0","14.46"
"2017-03-08","SCB","15.00","12.21","15.00","15.00","15.00","50","14.46"
"2017-03-09","SCB","15.00","12.21","15.00","15.00","15.00","0","14.46"
"2017-03-10","SCB","15.33","12.21","15.00","15.00","15.33","420","15.01"
"2017-03-13","SCB","15.34","12.21","15.33","15.33","15.34","10","15.34"
"2017-03-14","SCB","15.36","12.21","15.34","15.34","15.36","310","15.36"
"2017-03-15","SCB","15.38","12.21","15.36","15.36","15.38","50","15.38"
"2017-03-16","SCB","15.38","12.21","15.38","15.38","15.38","190","15.38"
"2017-03-17","SCB","15.38","12.21","15.38","15.38","15.38","0","15.38"
"2017-03-20","SCB","15.38","12.21","15.38","15.38","15.38","250","15.38"
"2017-03-21","SCB","15.43","12.21","15.38","15.38","15.42","670","15.43"
"2017-03-22","SCB","15.44","12.21","15.42","15.42","15.44","13620","15.43"
"2017-03-23","SCB","15.44","12.21","15.44","15.44","15.44","40730","15.43"
"2017-03-24","SCB","15.44","12.21","15.44","15.44","15.44","72240","15.43"
"2017-03-27","SCB","15.44","12.21","15.44","15.44","15.44","0","15.43"
"2017-03-28","SCB","15.44","12.21","15.44","15.44","15.44","590","15.43"
